day,time_ms,src,dst,relation
4,27888347,65088,2839597,5
4,27897167,65088,2839597,5
3,61022130,65397,3215549,5
3,61181917,65397,3215549,5
4,56878589,65397,3215549,5
4,69110431,65595,2330216,5
8,45536780,65882,602291,5
0,14837766,66117,3181660,5
4,60163211,66224,768990,5
2,3241271,66679,365938,5
6,80381493,66782,709601,5
7,26033237,66787,1022665,5
2,65499362,66805,768990,5
2,65552605,66805,768990,5
7,3747322,66867,768990,5
5,30815062,67064,602291,5
5,31191232,67064,602291,5
6,31434256,67396,2027146,5
3,83406869,68648,3215549,5
7,3545764,68933,709601,5
3,1690130,69039,4242568,5
8,48600390,69740,3215549,5
5,65583565,70016,2609785,5
5,66923215,70016,2609785,5
7,77493082,71144,602291,5
7,10368280,71427,2839597,5
1,23196237,71438,4231085,5
1,23200217,71438,2330216,5
3,68409517,71610,768990,5
2,624850,71888,4242568,5
0,30085271,71952,4242568,5
7,21210691,71969,602291,5
6,75949920,72410,602291,5
7,48033615,72413,365938,5
3,75501933,72678,3215549,5
3,75503064,72678,3215549,5
7,41570003,72678,240251,5
9,38058561,73466,1228498,5
4,71583173,73556,768990,5
4,75226913,73556,768990,5
7,57363986,73587,3215549,5
8,9746187,74075,1022665,5
9,24026540,74399,1022665,5
6,64818490,74457,1022665,5
6,49744196,74951,3181660,5
0,78470150,75128,2330216,5
3,53908736,75128,4231085,5
4,79049512,75128,5208994,5
5,35339900,75528,709601,5
5,41712558,75528,709601,5
9,2199287,75663,709601,5
3,50257139,76017,3215549,5
6,37890898,76573,3215549,5
4,57171922,76597,2609785,5
5,61919980,77228,1022665,5
1,59981800,77303,1228498,5
4,56324834,77924,3215549,5
7,43352670,78104,768990,5
3,8142196,78204,1035238,5
6,85053661,78253,3215549,5
1,62296957,78548,4231085,5
4,56125617,78576,2609785,5
7,18299825,78643,2839597,5
7,81301189,79331,1075474,5
6,18528763,79340,5247958,5
6,18651517,79340,2260970,5
8,20821609,79340,784528,5
5,2754930,79579,2839597,5
5,2757445,79579,2839597,5
5,40917788,79579,2839597,5
4,3996519,79631,3215549,5
2,52110684,79727,5397591,5
3,17667122,79955,4773415,5
0,8406956,80034,3993630,5
7,62331106,80514,768990,5
6,63056404,80633,1582548,5
4,53126459,80819,768990,5
6,42324191,81463,1022665,5
7,25280402,81898,1022665,5
4,3297168,82159,3215549,5
9,76470648,82280,4773415,5
5,40668941,82331,1022665,5
3,53739786,82964,365938,5
4,63834637,82964,365938,5
1,59206366,83141,5208994,5
1,59213778,83141,5208994,5
0,33302308,83329,4966471,5
4,67405770,83393,3215549,5
0,54034655,83471,4217938,5
5,56686880,83496,4921394,5
5,9028014,84338,3215549,5
3,60379779,84670,4773415,5
5,64607785,84673,2609785,5
9,31986040,85010,3215549,5
2,52804223,85267,5208994,5
5,52614503,85276,2609785,5
6,4693638,85730,1582548,5
0,28471166,85907,4966471,5
3,68049405,85968,5397591,5
5,44184898,86033,4231085,5
0,42905693,86268,5208994,5
7,25353473,86268,3993630,5
8,48546417,87561,709601,5
8,57996929,88053,602291,5
0,36005839,88595,4966471,5
7,25159685,88595,4231085,5
7,7251938,88910,602291,5
2,4861235,89042,2330216,5
6,15574546,89402,2330216,5
5,56789942,89967,4921394,5
6,33750456,89998,2839597,5
5,84126797,90209,3215549,5
5,3132885,90860,3215549,5
4,63486963,90875,5397591,5
1,31025442,91022,4966471,5
1,51894995,91086,4811261,5
1,51959727,91086,4811261,5
6,39026717,91086,3215444,5
9,48448458,91086,1527781,5
7,57161419,91164,4773415,5
8,78589570,91299,709601,5
9,34527286,91369,4773415,5
4,76689633,91948,4773415,5
4,76691045,91948,4773415,5
0,11309805,92014,3993630,5
8,21751526,92400,602291,5
8,21796650,92400,602291,5
8,21796682,92400,602291,5
8,57828313,93364,4773415,5
3,38556284,93424,4773415,5
9,41147185,94028,4773415,5
2,24520083,94187,365938,5
4,60052809,94256,4773415,5
6,26538503,94737,709601,5
5,71156857,95091,4773415,5
4,70675006,95198,1582548,5
4,53892700,95347,3215549,5
4,49430249,95418,2609785,5
7,62410053,95741,4773415,5
7,62411163,95741,4773415,5
4,24882613,95989,4773415,5
3,33897575,96134,5208994,5
7,5894621,96441,3215549,5
7,83667467,96901,3215549,5
5,28534880,96918,5208994,5
5,45359006,97005,2839597,5
6,38293835,97646,602291,5
8,81849760,97846,709601,5
3,12889365,97872,365938,5
7,33040866,97927,365938,5
8,71796645,98217,4773415,5
9,28513527,98562,1075474,5
5,33767330,99030,602291,5
0,30355382,99414,4231085,5
5,40067801,99696,709601,5
4,73908190,100603,4773415,5
5,13513977,100703,768990,5
4,20287027,100996,768990,5
8,6051702,101227,3215549,5
7,37167917,101518,365938,5
7,36057518,101637,4966471,5
6,16373711,101639,2839597,5
5,18289067,101720,2609785,5
0,41289012,102223,5208994,5
4,75237584,102301,5397591,5
4,75643182,102301,5397591,5
5,1520418,102390,2609785,5
4,38632600,102454,5397591,5
7,26362245,102488,4231085,5
9,13160631,102568,709601,5
1,61674195,103051,2330216,5
5,30041860,103282,602291,5
6,47279325,103282,482344,5
7,40660430,103748,1022665,5
2,33963179,104766,1582548,5
8,1219132,105119,709601,5
8,1280076,105119,709601,5
3,7703107,105965,365938,5
3,7704627,105965,365938,5
6,28595885,106186,1022665,5
7,25218825,106282,602291,5
9,46767876,106332,1035238,5
5,84085254,106542,3215549,5
2,63588196,106992,5208994,5
6,9713580,107090,1022665,5
4,56490777,107116,1582548,5
6,45291355,107357,2839597,5
8,29097387,107520,1022665,5
3,24547731,107697,1228498,5
6,13637145,107697,2004060,5
7,14329573,107911,4966471,5
9,37240103,107945,4773415,5
5,7136588,108138,277026,5
5,73083521,108138,4242568,5
9,55545028,109171,4773415,5
6,59651778,109355,1022665,5
9,6539965,109357,1075474,5
4,72534963,110837,4773415,5
1,60058920,111194,5208994,5
4,73280441,111194,2330216,5
3,50751713,111520,3215549,5
6,30891085,111532,2004060,5
7,7902077,111561,4966471,5
7,7948045,111561,3993630,5
4,43044534,111608,4773415,5
6,53363726,111616,4231085,5
4,64956104,112034,768990,5
3,40126458,113641,4773415,5
3,40347179,113641,4773415,5
5,41008362,113885,709601,5
5,40026588,113925,2839597,5
0,29202686,114074,5208994,5
0,29577844,114303,4966471,5
4,59459295,114336,1582548,5
6,73737263,115403,768990,5
5,49968283,116997,2609785,5
7,23366126,117063,3215549,5
1,56519783,117399,5397591,5
8,20132519,117997,3215549,5
0,77867307,118364,1582548,5
7,19953778,118655,3215549,5
6,6488633,118674,768990,5
5,43300106,118868,602291,5
4,41862498,118922,5397591,5
1,10857906,119281,3993630,5
7,76460784,119349,602291,5
6,32146666,120244,803473,5
9,30365894,120748,3215549,5
7,43398018,121138,709601,5
8,15978274,121138,709601,5
9,79355755,121226,4773415,5
9,25240703,121360,1075474,5
2,12263876,121517,365938,5
7,23235095,121675,1022665,5
3,50467196,121945,5208994,5
3,47666909,123312,1582548,5
4,11591619,124794,3181660,5
2,14863436,125502,1582548,5
8,28181009,125731,1022665,5
7,31243078,126102,1582548,5
3,49014044,126406,4231085,5
8,35144596,126711,3215549,5
9,20765918,126801,544390,5
3,49313242,126867,768990,5
9,15210208,127222,709601,5
3,53090103,127589,365938,5
6,62592884,127650,4773415,5
6,61897255,127832,709601,5
7,11073984,127917,2839597,5
4,80709943,128135,4966471,5
9,28432277,128172,1022665,5
6,53933270,128257,4242568,5
4,39518957,128676,1035238,5
5,40714030,128676,709601,5
5,44705206,128676,4483813,5
9,28455169,128676,482344,5
4,19055002,129146,365938,5
6,52144411,129642,482344,5
0,35608470,130037,4966471,5
0,35619605,130037,1582548,5
0,35658242,130037,5208994,5
7,31724200,130037,3993630,5
2,66096832,130149,4773415,5
2,66098236,130149,4773415,5
6,18570610,130424,1022665,5
6,18624610,130424,1022665,5
4,49803303,130606,2609785,5
7,21849443,130942,1582548,5
6,29005126,131284,1022665,5
3,54336895,131815,365938,5
7,51570317,131912,4773415,5
2,29412605,131974,4242568,5
6,81777393,132730,602291,5
9,22849789,134465,3215549,5
7,862172,134905,1582548,5
8,77506973,134971,4773415,5
2,8293988,135102,365938,5
2,8300696,135102,365938,5
9,47989723,135346,4710580,5
4,77075,135843,768990,5
6,35216499,135933,2839597,5
6,56057149,136276,3215549,5
2,48949947,136545,4483813,5
7,49708147,136545,4483813,5
4,44671427,136585,2609785,5
4,22970664,138363,4773415,5
8,75732486,138434,4773415,5
0,58532485,138701,5397591,5
1,13829492,139311,365938,5
8,3634878,139353,1022665,5
2,58516825,139730,5397591,5
9,39770996,139793,709601,5
9,69140353,139793,709601,5
9,69375744,139793,709601,5
9,69602352,139793,709601,5
1,22012704,140235,1035238,5
9,45248153,140235,4710580,5
4,11723658,140441,4773415,5
8,39356725,140459,709601,5
8,7576325,140799,4773415,5
0,12316330,141245,4231085,5
0,44878791,141245,4231085,5
5,32085917,141476,2609785,5
9,30123451,141652,1022665,5
5,46475733,141830,3993630,5
8,5015741,142432,1075474,5
2,24576832,143179,5397591,5
7,33001495,143179,4231085,5
4,28552439,143428,4242568,5
4,28566669,143428,3993630,5
2,62943401,143581,768990,5
6,56114760,143686,3215549,5
3,33987894,143861,4773415,5
6,46035128,144436,3215549,5
5,1873992,144790,4966471,5
6,81681514,144995,5397591,5
7,3406394,145167,602291,5
7,59257048,145459,1075474,5
2,53765178,145970,2330216,5
3,82154735,146198,365938,5
7,54083510,146685,768990,5
3,3201887,146901,4231085,5
9,48871735,147141,1075474,5
9,83048050,147268,4773415,5
9,20252495,147558,1075474,5
2,53572355,148147,4966471,5
2,53585159,148147,5397591,5
5,58306272,148301,768990,5
7,41524142,148322,3215549,5
1,15303355,148534,4231085,5
7,69781485,148542,602291,5
7,24369344,148639,602291,5
2,63192188,148773,4773415,5
5,23587441,148858,1582548,5
8,73658635,149385,4773415,5
4,84184286,149598,768990,5
8,48956645,149892,709601,5
5,41337951,150908,3215549,5
4,51851395,150963,4773415,5
6,52513527,151141,5397591,5
0,83442110,151322,2330216,5
0,83443896,151322,3993630,5
2,77515692,151370,768990,5
8,57001281,151683,602291,5
8,73963032,151813,3215549,5
5,43471222,152684,2609785,5
7,79722527,152892,3215549,5
5,76467719,154108,365938,5
8,84399944,154973,3215549,5
1,44719524,155126,5397591,5
6,68499481,155156,768990,5
3,37994520,155242,4773415,5
2,21085345,155890,4483813,5
1,12049432,156336,4966471,5
0,46917063,156457,4231085,5
7,35541781,156531,365938,5
4,63261327,156746,3993630,5
2,57924706,156769,4773415,5
2,57925880,156769,4773415,5
2,44791471,157393,4242568,5
4,17448820,157703,365938,5
0,43051853,157816,3181660,5
6,30329747,157852,4773415,5
7,41529691,158202,768990,5
3,30060245,158737,5397591,5
5,38062383,158744,4773415,5
4,59941967,158837,3215549,5
8,6572978,159223,3215549,5
8,6584876,159223,3215549,5
6,67107748,159242,4242568,5
7,74231526,159291,709601,5
3,13053425,160073,365938,5
5,7055002,160073,5208994,5
5,7099514,160073,4966471,5
3,39282125,160307,768990,5
6,37327343,160776,709601,5
6,75278236,161986,3215549,5
6,75338344,161986,3215549,5
8,38602356,161986,709601,5
7,24057215,162283,768990,5
4,70124751,162369,3215549,5
4,71317274,162369,3215549,5
6,33067585,162473,1022665,5
6,33070853,162473,1022665,5
8,78576943,162596,709601,5
0,30990265,162670,2330216,5
6,26528738,162804,2330216,5
1,52751572,162868,2330216,5
5,35422433,162933,1022665,5
6,28182106,162933,1022665,5
5,37775117,163034,709601,5
7,20754660,163199,3181660,5
7,20756962,163199,2330216,5
6,24248668,163281,365938,5
5,67777953,163766,709601,5
5,66190414,163832,768990,5
9,15623258,163891,1147203,5
7,29021411,164032,3215549,5
5,52224491,164498,2839597,5
6,78500369,164524,2330216,5
4,43950450,164564,3993630,5
4,48055910,164564,3993630,5
9,6328374,164716,3215549,5
5,43009847,165237,3215549,5
5,1083514,166232,5397591,5
9,41278596,166505,1022665,5
5,73630728,166509,3215549,5
0,37745733,166562,365938,5
6,50177092,167350,2839597,5
3,12052591,167743,2330216,5
7,37282464,167743,3993630,5
9,41236984,167743,4710580,5
6,60794661,167829,768990,5
6,37932792,167908,1022665,5
9,37421898,167908,3215549,5
6,41872158,168024,709601,5
1,31207558,168413,4231085,5
8,37706466,169529,709601,5
0,33108451,169600,3993630,5
5,27290476,169600,4242568,5
7,26340028,170465,4231085,5
2,82259673,170574,5208994,5
7,35048423,170943,4773415,5
6,52612592,171676,3215549,5
7,38668433,171721,709601,5
2,51084865,172397,5302476,5
2,51100466,172397,5302476,5
2,51122621,172397,5302476,5
6,18471390,172646,3215549,5
2,36655507,172938,2330216,5
2,37422055,172938,2330216,5
8,72518695,173419,3215549,5
8,25092726,174239,240251,5
7,2732723,174639,4966471,5
7,2737504,174639,4966471,5
5,21871887,174746,4242568,5
3,8385054,174830,4773415,5
6,45592934,175245,2839597,5
7,51203172,175460,709601,5
1,3529861,176164,3181660,5
8,34065588,176276,365938,5
9,8240306,176276,365938,5
5,37270352,176644,2609785,5
9,51458179,176910,1228498,5
5,13062382,177022,4773415,5
8,10803620,177433,4773415,5
6,23970512,178004,4773415,5
5,19372428,178040,3215549,5
5,67378810,178388,2839597,5
2,51939739,178483,2330216,5
7,21621187,178783,4242568,5
7,50422651,179174,1075474,5
8,61348324,179296,4773415,5
5,43630078,179654,602291,5
7,34389651,179812,365938,5
8,32692592,180324,709601,5
1,26607751,180500,1513543,5
8,63335425,180500,3181660,5
2,10229000,181053,365938,5
2,10229949,181053,365938,5
5,24572013,181562,602291,5
9,4448238,181641,3215549,5
4,56392134,181915,768990,5
4,76635383,181927,365938,5
9,66562143,182059,709601,5
9,15628097,182978,709601,5
5,42153824,183370,2330216,5
2,60003588,183440,768990,5
9,19257295,183896,3215549,5
8,12841688,184017,602291,5
3,3524861,184255,768990,5
4,30233196,184273,2839597,5
8,38461252,185468,602291,5
3,628774,186065,365938,5
3,629750,186065,365938,5
0,13616326,186316,803473,5
7,40853830,186316,4483813,5
8,3658440,186316,3667274,5
8,3661927,186316,803473,5
8,63200967,186426,4773415,5
1,54555872,187389,3993630,5
6,61549026,187453,709601,5
7,50346743,187938,1022665,5
6,65119451,187988,4773415,5
3,86329781,188023,365938,5
7,57618835,188044,4773415,5
9,48170267,189139,4773415,5
9,15563388,189628,4710580,5
2,84793299,190094,1582548,5
8,52658214,190437,709601,5
6,58481954,190460,1582548,5
7,274067,190507,4231085,5
1,44047814,190985,4242568,5
9,42770359,191373,709601,5
9,42851411,191373,4710580,5
0,55876459,192084,4231085,5
4,70960371,192104,4773415,5
8,42432094,192533,709601,5
4,26332624,192865,3215549,5
9,65251983,193371,1075474,5
4,61972620,193663,4773415,5
6,40721613,193720,2839597,5
6,40725189,193720,2839597,5
6,42366723,193720,2839597,5
2,55121803,194042,3993630,5
4,61896250,194340,768990,5
4,62243752,194340,768990,5
6,39438212,194869,709601,5
0,31835449,195198,365938,5
5,36714570,195360,4789756,5
7,29375354,195360,2751278,5
0,73858742,195683,1582548,5
0,33726041,195693,1035238,5
5,5229089,195863,4231085,5
5,73186951,196014,3215549,5
4,18541536,196629,3215549,5
6,60678337,196663,768990,5
0,44384844,197005,4966471,5
9,51259112,197183,2294583,5
9,51269274,197183,2294583,5
7,61331019,197227,768990,5
3,20198381,197283,5397591,5
3,58095521,197700,3215549,5
3,58104495,197700,3215549,5
8,41911211,197777,602291,5
6,68827178,198006,4773415,5
0,53280602,198138,4231085,5
3,50987566,198861,3215549,5
6,19430106,198880,1857652,5
8,39816545,200610,1022665,5
2,1189215,200902,3993630,5
7,399731,201049,3215549,5
4,2235703,201145,3667274,5
7,9956179,201145,1228498,5
5,71608379,201182,768990,5
1,21564805,201662,3993630,5
0,40664772,201713,5208994,5
7,30552156,201836,5397591,5
6,23427265,201878,5397591,5
6,23521289,201878,4242568,5
3,25463127,202156,5397591,5
9,12448634,202827,4773415,5
3,8859724,202904,4773415,5
5,26076288,202904,709601,5
5,26077329,202904,709601,5
5,34027906,203129,602291,5
8,36700433,203397,1022665,5
2,21465040,203903,4483813,5
9,52421837,203903,482344,5
7,18909400,204040,4773415,5
3,50347859,204243,3215549,5
4,65930413,204820,4773415,5
3,21096744,206047,5208994,5
0,58417399,206532,5397591,5
7,54335068,207080,1035238,5
9,26292540,208203,3215549,5
3,67814202,208544,3215549,5
3,67821900,208544,3215549,5
9,13622541,208663,4773415,5
8,85722766,208961,1147203,5
9,40495336,209208,4217938,5
0,9709007,209523,3181660,5
5,50008459,209658,2045944,5
7,69052002,210508,709601,5
9,44184211,210837,3215549,5
7,45416439,211429,602291,5
6,52199547,211807,4773415,5
4,23892736,212082,365938,5
5,16188726,212082,365938,5
8,83396088,212767,3215549,5
8,71534494,212828,709601,5
6,13781443,213623,3215549,5
3,41114335,213879,365938,5
8,44756451,214048,1022665,5
2,56406162,215021,768990,5
6,56849347,215182,2839597,5
1,4666391,215247,4966471,5
2,37408760,215378,1582548,5
6,38491764,215911,709601,5
8,25255740,216523,602291,5
9,45994008,216760,1075474,5
6,33204643,216867,2839597,5
9,23838778,217433,4773415,5
6,72071376,217581,4773415,5
8,24809296,217705,4773415,5
6,17229672,218592,5208994,5
4,32298763,218964,4773415,5
4,32644161,218964,4773415,5
0,58226371,219063,2330216,5
6,69972788,219063,4966471,5
5,689045,219908,3215549,5
7,15223364,220314,365938,5
6,85200261,220602,3215549,5
6,85204556,220602,3215549,5
1,55023974,220697,1857652,5
7,12156115,220793,4966471,5
3,53806159,220835,365938,5
3,50433728,221103,3215549,5
6,27548949,221246,1022665,5
7,47844250,221740,1022665,5
3,34104092,221744,5208994,5
8,26983129,222254,3215549,5
4,12211817,222441,768990,5
4,12310217,222441,768990,5
4,61733894,222675,3215549,5
0,83411246,223695,4231085,5
4,12526700,223722,4231085,5
6,58424104,223880,1022665,5
9,74137238,224532,4773415,5
2,59222029,224695,768990,5
2,36710793,225057,365938,5
3,2079028,226124,365938,5
3,2085289,226124,365938,5
9,39980986,226246,709601,5
8,44974621,226474,1022665,5
7,24120269,226524,2839597,5
4,67846896,226943,4773415,5
3,35130759,227739,4966471,5
7,78009195,228102,3067130,5
7,26862766,228666,709601,5
5,660606,228696,4966471,5
9,43350640,229498,4773415,5
3,31746457,230277,4773415,5
2,68094672,230490,4773415,5
5,24579543,230991,3993630,5
6,54348825,231154,709601,5
3,50242580,231659,3215549,5
9,61104715,231685,4773415,5
5,32786753,231751,768990,5
2,66458879,232150,768990,5
2,52230115,232832,3181660,5
4,20269407,233134,4773415,5
9,11802579,233556,709601,5
7,53967439,234471,365938,5
7,66452476,234873,1022665,5
5,51896992,234996,602291,5
2,66988799,235207,4773415,5
7,33671077,236095,1022665,5
6,7508779,236443,4242568,5
4,33184315,236561,5208994,5
4,63951785,236892,365938,5
5,7966579,237592,5208994,5
5,7973855,237592,4966471,5
6,53476373,238317,709601,5
3,33304638,238334,5208994,5
3,33342706,238334,5208994,5
3,33430280,238334,5208994,5
3,33460664,238334,5208994,5
3,33482259,238334,5208994,5
3,33521527,238334,5208994,5
5,82309015,238447,3215549,5
7,23131755,238814,602291,5
8,45621757,239191,602291,5
5,15248929,239377,3993630,5
5,15249912,239377,3993630,5
6,85380621,240251,4773415,5
5,30681870,240383,602291,5
4,67715733,240866,4773415,5
3,41344352,240914,1582548,5
0,33405476,241369,5208994,5
7,31616638,242314,709601,5
5,81085006,242503,709601,5
6,46158276,242571,602291,5
6,28307103,242735,709601,5
